Arquitectura,AccuracyMean,AccuracyStd,F1Mean,F1Std,PrecisionMean,PrecisionStd,RecallMean,RecallStd,SpecificityMean,SpecificityStd,NPVMean,NPVStd
[12],"[0.8092105263157896, 0.8434210526315787, 0.875, 0.8052631578947368, 0.8, 0.7473684210526316, 0.7460526315789474, 0.830263157894737, 0.8421052631578947, 0.8131578947368421]","[0.015428999209945457, 0.013482829955210019, 0.013157894736842105, 0.02487851368577506, 0.015145874254238616, 0.028902477153274722, 0.02111421912615947, 0.016381446839458816, 0.01040222914529072, 0.03499851599544836]","[0.7983777948735739, 0.8498798994895479, 0.8717168597168596, 0.8066400831110911, 0.7875968249913758, 0.7233845753390209, 0.7392665552343327, 0.8249428514147693, 0.8428946211195288, 0.8055622422004131]","[0.022690018986404933, 0.017756289346812212, 0.014299903674675714, 0.029890113779104808, 0.017671392984292253, 0.042491921686042045, 0.024780109168128017, 0.02236512715364487, 0.010832587870555199, 0.03962888285816164]","[0.8447646869575735, 0.8150056377730797, 0.8946569809245866, 0.7986510468969541, 0.8393189076068795, 0.7954937916192982, 0.75882900070489, 0.8500199798753332, 0.8386786440417353, 0.8383424229588055]","[0.004584966183726848, 0.012453173478593758, 0.00868606898012732, 0.009466631022206282, 0.015208155949027823, 0.011846095868349128, 0.016803708020030384, 0.012814581510813485, 0.012183878282286127, 0.035415386964200414]","[0.7578947368421052, 0.8894736842105264, 0.85, 0.8157894736842106, 0.7421052631578948, 0.6657894736842105, 0.7210526315789473, 0.8026315789473685, 0.8473684210526315, 0.7763157894736843]","[0.04222843825231897, 0.04707511531578504, 0.019954935379083015, 0.05263157894736842, 0.02390250279550653, 0.07061267297367757, 0.03530633648683879, 0.04462059199424517, 0.01765316824341939, 0.05180268338165667]","[0.8605263157894736, 0.7973684210526316, 0.9, 0.7947368421052632, 0.8578947368421052, 0.8289473684210525, 0.7710526315789474, 0.8578947368421053, 0.8368421052631578, 0.85]","[0.011768778828946249, 0.025649458802128842, 0.007206875756646945, 0.007206875756646945, 0.01441375151329389, 0.01860807318911967, 0.01500230822498865, 0.019516311808146468, 0.01500230822498865, 0.03674800011518142]","[0.7814462511690449, 0.8807449494949495, 0.8573243114909781, 0.8138003431167988, 0.7690958829988858, 0.7150694807662898, 0.7349184362985537, 0.8142858296489208, 0.8459587936891471, 0.7926898423689182]","[0.0261667280528483, 0.040488045956440996, 0.017294273376330032, 0.04323888579221989, 0.017252268688828835, 0.042225692255166314, 0.02673494422805181, 0.029856124888249718, 0.01476379678193552, 0.0382861532878371]"
[16],"[0.8289473684210528, 0.8447368421052632, 0.8736842105263157, 0.8263157894736842, 0.8052631578947368, 0.7907894736842106, 0.7513157894736843, 0.8236842105263158, 0.8236842105263158, 0.8315789473684211]","[0.008057532048628878, 0.007501154112494342, 0.015707021560938568, 0.007501154112494342, 0.005884389414473143, 0.017653168243419396, 0.03903262361629298, 0.019405106847042917, 0.04543762276271578, 0.023992871748434817]","[0.8209507689077835, 0.8554160680215063, 0.8712731629545477, 0.8324155733223952, 0.7955696081249402, 0.7821421023170776, 0.7458461700693644, 0.8181935079095322, 0.8190335039401196, 0.823290820343253]","[0.007958574903437595, 0.005245055765051504, 0.016348268832929128, 0.008835688113588092, 0.006068076965891941, 0.022739372622782573, 0.04345680850327562, 0.02226618744011166, 0.05854943815873505, 0.02424332708716659]","[0.8613554987212275, 0.8011354393524937, 0.8880737803412642, 0.8040369883596448, 0.8374250774740671, 0.8146902379511076, 0.7609663659952053, 0.8438864346792736, 0.8313075595672661, 0.8665229570088904]","[0.01155766205322927, 0.01911361551206006, 0.01691308409138106, 0.007903380392969615, 0.011972830146373539, 0.009693804758193566, 0.034447972536763224, 0.020328035057723733, 0.017592356781711588, 0.02977682987333764]","[0.7842105263157896, 0.9184210526315791, 0.855263157894737, 0.8631578947368421, 0.7578947368421053, 0.7526315789473684, 0.731578947368421, 0.7947368421052632, 0.8105263157894737, 0.7842105263157896]","[0.007206875756646945, 0.02162062726994079, 0.02080445829058144, 0.01995493537908302, 0.011768778828946298, 0.03651167611976742, 0.05230159714303101, 0.03555067391080603, 0.09424212936563149, 0.019954935379083043]","[0.8736842105263157, 0.7710526315789474, 0.8921052631578947, 0.7894736842105263, 0.8526315789473683, 0.8289473684210528, 0.7710526315789473, 0.8526315789473685, 0.8368421052631578, 0.8789473684210526]","[0.011768778828946242, 0.03168840678629552, 0.01715579580316488, 0.013157894736842146, 0.014413751513293844, 0.009304036594559825, 0.02728479125437861, 0.02353755765789255, 0.011768778828946249, 0.028525636037735256]","[0.8019275709108211, 0.90519359426111, 0.8605879413724183, 0.8526683267272583, 0.7789234457208679, 0.7708907767726082, 0.7426575143358669, 0.8066930579460699, 0.8205093547198811, 0.8027692652141669]","[0.006498858537567144, 0.018726711925151147, 0.018393288374540375, 0.016550092154705955, 0.006824377800762103, 0.025263520418819612, 0.0431434670518376, 0.026350157337956998, 0.06696030028187358, 0.01982599199133496]"
[24],"[0.8289473684210525, 0.85, 0.881578947368421, 0.8355263157894737, 0.8065789473684211, 0.8013157894736842, 0.7763157894736843, 0.8157894736842106, 0.8407894736842106, 0.8171052631578947]","[0.0123080835091248, 0.012654857935310074, 0.006578947368421073, 0.006578947368421018, 0.0075011541124943275, 0.0055043422798294675, 0.009304036594559844, 0.01677309050523942, 0.008577897901582438, 0.010810313634970373]","[0.8199738198084914, 0.8597177579055314, 0.8793557046979867, 0.8435534591194969, 0.7960395652513877, 0.7945648278618241, 0.776258709951712, 0.8109533579323965, 0.8417068506252567, 0.8108549365692224]","[0.01234436553453324, 0.009686311803059374, 0.006721066877116164, 0.006265432274675482, 0.009409764053920544, 0.005076384800781913, 0.010404762880258073, 0.021249384615182818, 0.0106985579062001, 0.011703913218306305]","[0.8656626985641758, 0.8083215513752418, 0.8961865975564607, 0.8043029259896729, 0.8419937517260425, 0.8226498718337423, 0.7764686770917868, 0.831589912432287, 0.8366637441320985, 0.8394774443764034]","[0.017311543492088584, 0.01961758841557903, 0.007257893781282995, 0.006173028540899394, 0.014125792065381912, 0.009758445645962155, 0.011108962566208296, 0.010414696717850183, 0.011751726696743084, 0.011576103375704522]","[0.7789473684210526, 0.9184210526315789, 0.8631578947368421, 0.8868421052631579, 0.7552631578947369, 0.7684210526315789, 0.7763157894736843, 0.7921052631578948, 0.8473684210526315, 0.7842105263157896]","[0.011008684559658885, 0.005884389414473099, 0.007206875756646945, 0.007206875756646945, 0.019954935379083015, 0.007206875756646884, 0.01860807318911967, 0.038810213694085854, 0.025649458802128832, 0.015002308224988666]","[0.8789473684210526, 0.7815789473684212, 0.9, 0.7842105263157894, 0.8578947368421053, 0.8342105263157894, 0.7763157894736843, 0.8394736842105264, 0.8342105263157894, 0.85]","[0.017155795803164862, 0.028827503026587705, 0.007206875756646945, 0.007206875756646945, 0.01715579580316488, 0.011768778828946242, 0.016115064097257756, 0.014413751513293844, 0.01765316824341939, 0.011768778828946298]","[0.7990299875460029, 0.905530131392684, 0.8680298604349238, 0.8739130434782609, 0.7782836492675849, 0.7827373941812553, 0.7765379411610509, 0.8024729973049567, 0.8459185692541858, 0.797614160345084]","[0.009948325752832434, 0.0045840842615736815, 0.006669892623388284, 0.0077442311655446135, 0.011800677676139277, 0.004836559712342445, 0.013085871719741484, 0.027986860007432026, 0.019164470765262242, 0.011969494868366598]"
[32],"[0.8276315789473685, 0.843421052631579, 0.875, 0.8407894736842104, 0.8026315789473685, 0.786842105263158, 0.7671052631578947, 0.8342105263157894, 0.8486842105263157, 0.8184210526315789]","[0.008577897901582442, 0.0055043422798294675, 0.008057532048628878, 0.01426281801886765, 0.014710973536182849, 0.009977467689541535, 0.022599426364891668, 0.008577897901582424, 0.006578947368421073, 0.00997746768954151]","[0.8197944616360164, 0.8529140035484492, 0.8728188375939832, 0.8474166069580447, 0.7927777777777779, 0.779764080816191, 0.7649585221331475, 0.8320504366339151, 0.8500440048427664, 0.8113859530511969]","[0.009229086914156212, 0.004592223646525767, 0.008272186937812868, 0.01363770718090178, 0.016149379837498475, 0.012446055942882962, 0.022504832639189464, 0.007074914291635192, 0.007046611917505491, 0.011863491819113338]","[0.858856978186253, 0.8043222430037845, 0.8883585914681806, 0.8135762562444903, 0.8342284739982949, 0.8065966786074951, 0.7722000948316737, 0.8435672514619883, 0.8423804265909529, 0.8437912892341964]","[0.010692717280407993, 0.009251137992593455, 0.010369556934135571, 0.013465640528562101, 0.014201795765024214, 0.015426062511322202, 0.023954851992512315, 0.016790399431846428, 0.0053281119839004, 0.008365934336651637]","[0.7842105263157894, 0.9078947368421053, 0.8578947368421053, 0.8842105263157896, 0.7552631578947369, 0.7552631578947369, 0.7578947368421053, 0.8210526315789475, 0.8578947368421053, 0.7815789473684209]","[0.011768778828946249, 0.009304036594559825, 0.011008684559658923, 0.01441375151329383, 0.017653168243419396, 0.02564945880212886, 0.022017369119317756, 0.007206875756646945, 0.011008684559658923, 0.019954935379083015]","[0.8710526315789474, 0.7789473684210526, 0.8921052631578947, 0.7973684210526316, 0.85, 0.8184210526315789, 0.7763157894736842, 0.8473684210526315, 0.8394736842105264, 0.8552631578947368]","[0.01100868455965887, 0.01441375151329383, 0.011008684559658923, 0.01500230822498867, 0.011768778828946249, 0.021620627269940747, 0.024616167018249646, 0.01995493537908304, 0.005884389414473099, 0.009304036594559865]","[0.8015038603245088, 0.8943910819207131, 0.8626571002836826, 0.8732091097308489, 0.7765060240963855, 0.7702299064802132, 0.7622561648877438, 0.8256596035543404, 0.8553039355144619, 0.7967976812579056]","[0.009044060041073766, 0.008550599248434265, 0.009418586220525785, 0.01564318867493844, 0.014817317923191362, 0.015920041903312553, 0.021772576593322886, 0.004948444566284423, 0.009702240547749113, 0.01480354859379895]"
[48],"[0.8342105263157894, 0.8447368421052632, 0.8723684210526315, 0.8355263157894737, 0.8105263157894737, 0.7921052631578946, 0.7776315789473685, 0.830263157894737, 0.8486842105263157, 0.8315789473684211]","[0.00294219470723655, 0.005884389414473156, 0.014413751513293844, 0.019180762811991124, 0.005504342279829415, 0.0075011541124943275, 0.0055043422798294675, 0.0029421947072365497, 1.2412670766236366e-16, 0.008826584121709698]","[0.8259578544061302, 0.8553467187209518, 0.8697894660775549, 0.8418394621344613, 0.8022258993687565, 0.7910063928079178, 0.7767361429800503, 0.8286768909027534, 0.8515440696666854, 0.8279339742426991]","[0.003641106859913457, 0.0065680869301199965, 0.014751620970150951, 0.019874812407709382, 0.00359388992718536, 0.007106381096574793, 0.005779924920572807, 0.0033680859235038127, 0.003564511113414937, 0.009572139355885127]","[0.8691815856777494, 0.800546115385325, 0.8877885394559136, 0.8101436575924834, 0.8393784846047012, 0.7953685035516326, 0.7799412478893373, 0.8364921763869132, 0.8360398477024983, 0.8461187214611872]","[0.0008578265898336565, 0.006480986695721144, 0.0168315909121437, 0.014440468555032757, 0.014466662862445223, 0.011370029040610836, 0.008411710549111277, 0.004320340494791921, 0.01575422401858012, 0.0071472492431499755]","[0.786842105263158, 0.9184210526315789, 0.8526315789473685, 0.8763157894736843, 0.7684210526315789, 0.7868421052631579, 0.7736842105263158, 0.8210526315789475, 0.868421052631579, 0.8105263157894737]","[0.00588438941447315, 0.017155795803164862, 0.01715579580316488, 0.02882750302658768, 0.007206875756646884, 0.011008684559658923, 0.01100868455965887, 0.007206875756646945, 0.024616167018249632, 0.011768778828946249]","[0.881578947368421, 0.7710526315789474, 0.8921052631578948, 0.7947368421052632, 0.8526315789473685, 0.7973684210526316, 0.781578947368421, 0.8394736842105264, 0.8289473684210528, 0.8526315789473683]","[0.0, 0.011768778828946242, 0.01715579580316488, 0.015002308224988666, 0.01715579580316488, 0.01500230822498867, 0.011768778828946298, 0.0058843894144731, 0.024616167018249573, 0.00588438941447315]","[0.8053069420539302, 0.9047245564892623, 0.8583203950292557, 0.8658230939785085, 0.7864369116678354, 0.7891266676916244, 0.7755367821163957, 0.8243309322256691, 0.8637876905702992, 0.8182278481012659]","[0.0042976636400598334, 0.017100837768258367, 0.015317944445269955, 0.02758920198693668, 0.002582832054578248, 0.008019480385925004, 0.007468125183930919, 0.00528682977450382, 0.018879652424564568, 0.010189676859492717]"
"[16, 12]","[0.8171052631578947, 0.8381578947368421, 0.8789473684210526, 0.8223684210526316, 0.8039473684210527, 0.7894736842105263, 0.7842105263157895, 0.8276315789473685, 0.8460526315789474, 0.8026315789473685]","[0.020490015134733447, 0.005884389414473099, 0.003603437878323442, 0.030505323998341136, 0.005504342279829455, 0.009304036594559825, 0.019954935379083046, 0.011768778828946256, 0.003603437878323503, 0.04055535528269065]","[0.8047638405067101, 0.8474874146935868, 0.8769932885906041, 0.8268094424042886, 0.7950495984884269, 0.7866414211001971, 0.7824917364748376, 0.8247624459325371, 0.8478320232759462, 0.7926155289702088]","[0.024980419729700307, 0.007762681790175512, 0.004117109157085775, 0.03547465573492071, 0.005651683747953025, 0.010013656631164589, 0.020035112067448888, 0.016644340454417386, 0.004424085276064509, 0.04760196090673619]","[0.8616445484846447, 0.801123265717707, 0.8912995186967791, 0.8034893979047306, 0.8328778467908903, 0.7973047019622362, 0.7888368180725788, 0.8378131332308392, 0.8380961033192879, 0.8313265462339252]","[0.014641673689884002, 0.007698291975133101, 0.0008111404035618833, 0.014939063000495252, 0.007103591779128306, 0.009003079944896386, 0.020991117487467178, 0.011314788148382486, 0.004731683395006341, 0.03195335526749173]","[0.7552631578947367, 0.9, 0.8631578947368421, 0.8526315789473683, 0.7605263157894737, 0.7763157894736842, 0.7763157894736843, 0.8131578947368421, 0.8578947368421053, 0.7578947368421053]","[0.03431159160632974, 0.02390250279550651, 0.007206875756646945, 0.05913738172169534, 0.005884389414473149, 0.01315789473684209, 0.020804458290581456, 0.03767847648230618, 0.011008684559658923, 0.06000923289995463]","[0.8789473684210526, 0.7763157894736843, 0.8947368421052632, 0.7921052631578946, 0.8473684210526315, 0.8026315789473685, 0.7921052631578946, 0.8421052631578949, 0.8342105263157894, 0.8473684210526315]","[0.01100868455965887, 0.016115064097257756, 0.0, 0.011008684559658925, 0.007206875756646945, 0.009304036594559825, 0.021620627269940768, 0.01860807318911967, 0.007206875756646884, 0.022017369119317808]","[0.782688514332068, 0.8866774091787544, 0.8673807205452775, 0.8455972280675249, 0.7796650014692919, 0.7821216757925619, 0.7798260034435918, 0.8194874433087389, 0.8545634690205708, 0.779076575662921]","[0.024404106780279874, 0.02263024969566538, 0.006044325529106007, 0.049890759319556936, 0.0049756737616882575, 0.010911681617773762, 0.019933952843801686, 0.026002678080044035, 0.008801286666668727, 0.045539106672949366]"
"[24, 16]","[0.8315789473684211, 0.8328947368421054, 0.8789473684210526, 0.8421052631578947, 0.8131578947368421, 0.775, 0.7802631578947368, 0.8355263157894737, 0.8486842105263159, 0.8171052631578949]","[0.011951251397753252, 0.0075011541124943275, 0.0036034378783234423, 0.013157894736842132, 0.007501154112494289, 0.030291748508477226, 0.011951251397753241, 0.008057532048628878, 0.004652018297279932, 0.021011472924567506]","[0.8242163374560972, 0.8392731817193418, 0.8770067570570704, 0.848512913035343, 0.8033640940490254, 0.7637823129251701, 0.7800191323630068, 0.8352997537344204, 0.8516171987700532, 0.8104824522207611]","[0.011646846080274189, 0.010179234210572326, 0.0034748209354879397, 0.01214867365787141, 0.00633160015019781, 0.03953901612462648, 0.010579545100703917, 0.008240055353824568, 0.004114523202794638, 0.02054180017405192]","[0.8622548590777402, 0.8082545355371689, 0.8913945040931341, 0.8156231066996078, 0.8481410266897156, 0.8007411020175106, 0.7812990575874498, 0.8364912403859772, 0.8355826444223068, 0.8417322291235335]","[0.017414846359319575, 0.013170825530604635, 0.008075824937607159, 0.014326615352584136, 0.014084992190895233, 0.018257314470735572, 0.017553979100764786, 0.00998793651758758, 0.00959419789894585, 0.02826505459726386]","[0.7894736842105263, 0.8736842105263157, 0.8631578947368421, 0.8842105263157893, 0.7631578947368421, 0.731578947368421, 0.7789473684210526, 0.8342105263157894, 0.868421052631579, 0.781578947368421]","[0.009304036594559865, 0.03168840678629552, 0.007206875756646945, 0.011008684559658883, 0.0, 0.06143482910488815, 0.011008684559658885, 0.011768778828946242, 0.009304036594559825, 0.01500230822498867]","[0.8736842105263157, 0.7921052631578946, 0.8947368421052632, 0.8, 0.8631578947368421, 0.8184210526315789, 0.781578947368421, 0.8368421052631578, 0.8289473684210528, 0.8526315789473685]","[0.01765316824341939, 0.02353755765789252, 0.009304036594559865, 0.017155795803164866, 0.01500230822498867, 0.01715579580316483, 0.022017369119317756, 0.011768778828946242, 0.01315789473684209, 0.028525636037735263]","[0.8057955917099809, 0.8636487283663461, 0.8673958214780999, 0.8735298749015833, 0.7846568401089498, 0.7549361132694465, 0.77952785019807, 0.8347232066179433, 0.8631124889118329, 0.7959285924184544]","[0.009029743952494184, 0.02624655435970718, 0.005342944509337787, 0.012407453041766738, 0.0029472907561982425, 0.041142863479376644, 0.00955311270535888, 0.009746270156431357, 0.007163676566688483, 0.015856751160566836]"
"[32, 24]","[0.8342105263157894, 0.8381578947368421, 0.875, 0.8460526315789473, 0.8078947368421053, 0.7881578947368422, 0.7828947368421053, 0.8263157894736842, 0.8460526315789474, 0.8131578947368421]","[0.010810313634970373, 0.008826584121709682, 0.004652018297279893, 0.014413751513293866, 0.008577897901582424, 0.0055043422798294155, 0.006578947368421073, 0.003603437878323503, 0.003603437878323503, 0.013642395627189264]","[0.8260116517083924, 0.8475097240078732, 0.8721385815345547, 0.8521136852161453, 0.7989494610629639, 0.7838887478082108, 0.7808625927234193, 0.8258565736507221, 0.848253799752851, 0.8075129019178717]","[0.010353074536751876, 0.009708378682653099, 0.004800998565712321, 0.013426237445006262, 0.007153736540462702, 0.005705789224400177, 0.006904215008921887, 0.0034254821138481194, 0.0030214247591849462, 0.015142486286388602]","[0.8693386919985384, 0.8009649174278429, 0.8925799086757991, 0.8200117543344108, 0.8383869800216474, 0.8000226253650912, 0.7882782205420994, 0.8281162119056855, 0.836417611923941, 0.8323300380670628]","[0.016125418101291967, 0.005865765219187889, 0.005738754016003617, 0.014851480588633689, 0.015703758864872724, 0.006437583356405964, 0.00844155271776662, 0.007012221708052782, 0.0080713212518537, 0.010856682202779588]","[0.7868421052631579, 0.9, 0.8526315789473685, 0.8868421052631579, 0.7631578947368421, 0.7684210526315789, 0.7736842105263158, 0.8236842105263158, 0.8605263157894736, 0.7842105263157894]","[0.005884389414473149, 0.019954935379083015, 0.00588438941447315, 0.011768778828946256, 0.0, 0.007206875756646884, 0.01100868455965887, 0.007206875756646945, 0.007206875756646945, 0.019954935379083015]","[0.881578947368421, 0.7763157894736843, 0.8973684210526317, 0.8052631578947368, 0.8526315789473685, 0.8078947368421053, 0.7921052631578948, 0.8289473684210528, 0.8315789473684211, 0.8421052631578947]","[0.016115064097257756, 0.009304036594559825, 0.00588438941447315, 0.017155795803164866, 0.01715579580316488, 0.007206875756646885, 0.011008684559658923, 0.009304036594559825, 0.011008684559658869, 0.009304036594559825]","[0.8052376754404378, 0.8863003663003663, 0.8589556962025316, 0.876728778467909, 0.782565336840976, 0.7772330412203831, 0.7778446847400878, 0.8246512084406822, 0.8564285655518532, 0.7961792143589509]","[0.007111499115799355, 0.019241377627079, 0.005062796653069205, 0.01359509270343879, 0.003442031633728434, 0.005857690635143114, 0.008091260150131238, 0.004998882824629853, 0.005249505681112698, 0.016436829242465152]"
"[48, 32]","[0.8276315789473683, 0.843421052631579, 0.8776315789473685, 0.8460526315789474, 0.8184210526315789, 0.7907894736842105, 0.7763157894736842, 0.8368421052631578, 0.8447368421052632, 0.8065789473684211]","[0.007206875756646945, 0.0029421947072365996, 0.003603437878323442, 0.013642395627189313, 0.003603437878323442, 0.007206875756646884, 0.01677309050523942, 0.005504342279829415, 0.005884389414473156, 0.013642395627189306]","[0.8187753133565941, 0.8528529194382853, 0.875489932885906, 0.8521113526500234, 0.8078088578088577, 0.7865621843208149, 0.7751618450098756, 0.8363947934054112, 0.8479321066368548, 0.7993513006320887]","[0.008312193711011306, 0.004614587330389335, 0.004117109157085775, 0.012674618986383415, 0.0030854611825272427, 0.007599450013935689, 0.016335856137076634, 0.005877889779869359, 0.005526788326925892, 0.01569057861526529]","[0.8631088281799819, 0.8043557566029476, 0.8910033320992226, 0.820030982103663, 0.8580333625987709, 0.8028323364846613, 0.7793541963015648, 0.8387283588797647, 0.8310660325994277, 0.8299652990406206]","[0.010269980875244517, 0.007123145198621551, 0.0008111404035618833, 0.014487835063508064, 0.0069727630235512685, 0.009658553667529412, 0.01867043852326473, 0.008480855189944741, 0.012473155125714293, 0.01048349319716345]","[0.7789473684210526, 0.9078947368421053, 0.8605263157894736, 0.8868421052631579, 0.7631578947368421, 0.7710526315789473, 0.7710526315789473, 0.8342105263157894, 0.8657894736842104, 0.7710526315789473]","[0.01441375151329383, 0.01860807318911967, 0.007206875756646945, 0.011768778828946256, 0.0, 0.011768778828946242, 0.015002308224988652, 0.011768778828946242, 0.01441375151329383, 0.022017369119317794]","[0.876315789473684, 0.7789473684210527, 0.8947368421052632, 0.8052631578947368, 0.8736842105263157, 0.8105263157894737, 0.781578947368421, 0.8394736842105264, 0.8236842105263158, 0.8421052631578947]","[0.011768778828946249, 0.01441375151329383, 0.0, 0.017155795803164866, 0.007206875756646884, 0.011768778828946242, 0.01995493537908304, 0.01100868455965887, 0.017653168243419358, 0.009304036594559825]","[0.7986795110726128, 0.8947887488328664, 0.8651736449204804, 0.8767596885661797, 0.7867226890756303, 0.7798198988072406, 0.7733959023432708, 0.8351885409726847, 0.8601299486416215, 0.7864584262977837]","[0.009730226473292488, 0.01777169667855353, 0.006044325529106007, 0.013194340075136446, 0.0013808131701810863, 0.008662115571414475, 0.015395888640170104, 0.008826621710315933, 0.011279041890306436, 0.017069022432177137]"
