Profundidad,Accuracy_vals,F1_Score_vals,Precision_vals,Recall_vals,Specificity_vals,NPV_vals,Tiempo_vals
2,"[0.7743, 0.7743, 0.7743, 0.7743, 0.7743, 0.7743, 0.7743, 0.7743, 0.7743, 0.7743]","[0.7942, 0.7942, 0.7942, 0.7942, 0.7942, 0.7942, 0.7942, 0.7942, 0.7942, 0.7942]","[0.73, 0.73, 0.73, 0.73, 0.73, 0.73, 0.73, 0.73, 0.73, 0.73]","[0.8737, 0.8737, 0.8737, 0.8737, 0.8737, 0.8737, 0.8737, 0.8737, 0.8737, 0.8737]","[0.675, 0.675, 0.675, 0.675, 0.675, 0.675, 0.675, 0.675, 0.675, 0.675]","[0.8463, 0.8463, 0.8463, 0.8463, 0.8463, 0.8463, 0.8463, 0.8463, 0.8463, 0.8463]","[8.14, 0.02, 0.02, 0.02, 0.02, 0.03, 0.02, 0.02, 0.02, 0.02]"
4,"[0.9013, 0.9013, 0.9013, 0.9013, 0.9013, 0.9013, 0.9013, 0.9013, 0.9013, 0.9013]","[0.8953, 0.8953, 0.8953, 0.8953, 0.8953, 0.8953, 0.8953, 0.8953, 0.8953, 0.8953]","[0.9452, 0.9452, 0.9452, 0.9452, 0.9452, 0.9452, 0.9452, 0.9452, 0.9452, 0.9452]","[0.8526, 0.8526, 0.8526, 0.8526, 0.8526, 0.8526, 0.8526, 0.8526, 0.8526, 0.8526]","[0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95]","[0.8684, 0.8684, 0.8684, 0.8684, 0.8684, 0.8684, 0.8684, 0.8684, 0.8684, 0.8684]","[0.02, 0.02, 0.02, 0.02, 0.03, 0.02, 0.02, 0.02, 0.02, 0.02]"
6,"[0.9224, 0.9224, 0.9224, 0.9224, 0.9224, 0.9224, 0.9224, 0.9224, 0.9224, 0.9224]","[0.922, 0.922, 0.922, 0.922, 0.922, 0.922, 0.922, 0.922, 0.922, 0.922]","[0.9264, 0.9264, 0.9264, 0.9264, 0.9264, 0.9264, 0.9264, 0.9264, 0.9264, 0.9264]","[0.9184, 0.9184, 0.9184, 0.9184, 0.9184, 0.9184, 0.9184, 0.9184, 0.9184, 0.9184]","[0.9263, 0.9263, 0.9263, 0.9263, 0.9263, 0.9263, 0.9263, 0.9263, 0.9263, 0.9263]","[0.9199, 0.9199, 0.9199, 0.9199, 0.9199, 0.9199, 0.9199, 0.9199, 0.9199, 0.9199]","[0.03, 0.03, 0.02, 0.03, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02]"
8,"[0.9151, 0.9151, 0.9151, 0.9151, 0.9151, 0.9151, 0.9151, 0.9151, 0.9151, 0.9151]","[0.9143, 0.9143, 0.9143, 0.9143, 0.9143, 0.9143, 0.9143, 0.9143, 0.9143, 0.9143]","[0.9228, 0.9228, 0.9228, 0.9228, 0.9228, 0.9228, 0.9228, 0.9228, 0.9228, 0.9228]","[0.9066, 0.9066, 0.9066, 0.9066, 0.9066, 0.9066, 0.9066, 0.9066, 0.9066, 0.9066]","[0.9237, 0.9237, 0.9237, 0.9237, 0.9237, 0.9237, 0.9237, 0.9237, 0.9237, 0.9237]","[0.9089, 0.9089, 0.9089, 0.9089, 0.9089, 0.9089, 0.9089, 0.9089, 0.9089, 0.9089]","[0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03]"
10,"[0.9066, 0.9066, 0.9066, 0.9066, 0.9066, 0.9066, 0.9066, 0.9066, 0.9066, 0.9066]","[0.906, 0.906, 0.906, 0.906, 0.906, 0.906, 0.906, 0.906, 0.906, 0.906]","[0.9121, 0.9121, 0.9121, 0.9121, 0.9121, 0.9121, 0.9121, 0.9121, 0.9121, 0.9121]","[0.9013, 0.9013, 0.9013, 0.9013, 0.9013, 0.9013, 0.9013, 0.9013, 0.9013, 0.9013]","[0.9118, 0.9118, 0.9118, 0.9118, 0.9118, 0.9118, 0.9118, 0.9118, 0.9118, 0.9118]","[0.9034, 0.9034, 0.9034, 0.9034, 0.9034, 0.9034, 0.9034, 0.9034, 0.9034, 0.9034]","[0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03]"
12,"[0.9007, 0.9007, 0.9007, 0.9007, 0.9007, 0.9007, 0.9007, 0.9007, 0.9007, 0.9007]","[0.9003, 0.9003, 0.9003, 0.9003, 0.9003, 0.9003, 0.9003, 0.9003, 0.9003, 0.9003]","[0.9015, 0.9015, 0.9015, 0.9015, 0.9015, 0.9015, 0.9015, 0.9015, 0.9015, 0.9015]","[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]","[0.9013, 0.9013, 0.9013, 0.9013, 0.9013, 0.9013, 0.9013, 0.9013, 0.9013, 0.9013]","[0.9014, 0.9014, 0.9014, 0.9014, 0.9014, 0.9014, 0.9014, 0.9014, 0.9014, 0.9014]","[0.03, 0.04, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03]"
