Configuracion,Kernel,C,Gamma,Degree,Accuracy,F1_Score,Tiempo
SVM_linear_C0.1_degree3,linear,0.1,,3,"[0.8355263157894737, 0.8618421052631579, 0.7763157894736842, 0.8421052631578947, 0.8223684210526315, 0.8289473684210527, 0.8486842105263158, 0.8157894736842105, 0.875, 0.8421052631578947]","[0.8407643312101911, 0.8609271523178809, 0.763888888888889, 0.8461538461538461, 0.8163265306122449, 0.8266666666666665, 0.8535031847133758, 0.8205128205128205, 0.8789808917197451, 0.8400000000000001]",0.19
SVM_linear_C1.0_degree3,linear,1.0,,3,"[0.8289473684210527, 0.868421052631579, 0.7631578947368421, 0.8421052631578947, 0.8355263157894737, 0.8289473684210527, 0.8421052631578947, 0.8157894736842105, 0.875, 0.8355263157894737]","[0.8333333333333334, 0.8666666666666667, 0.7499999999999999, 0.8461538461538461, 0.8275862068965517, 0.8266666666666665, 0.8461538461538461, 0.8205128205128205, 0.8789808917197451, 0.832214765100671]",0.23
SVM_rbf_C0.5_gamma0.01_degree3,rbf,0.5,0.01,3,"[0.8355263157894737, 0.868421052631579, 0.7763157894736842, 0.8486842105263158, 0.8223684210526315, 0.8092105263157895, 0.8421052631578947, 0.8157894736842105, 0.8552631578947368, 0.8289473684210527]","[0.8387096774193549, 0.8666666666666667, 0.763888888888889, 0.8535031847133758, 0.8137931034482757, 0.8079470198675497, 0.8461538461538461, 0.8227848101265822, 0.860759493670886, 0.8243243243243243]",1.39
SVM_rbf_C2.0_gamma0.1_degree3,rbf,2.0,0.1,3,"[0.8618421052631579, 0.9078947368421053, 0.8223684210526315, 0.881578947368421, 0.875, 0.8618421052631579, 0.868421052631579, 0.875, 0.875, 0.8618421052631579]","[0.8679245283018868, 0.9066666666666667, 0.8211920529801323, 0.881578947368421, 0.8758169934640522, 0.8590604026845637, 0.8701298701298701, 0.8741721854304636, 0.8805031446540881, 0.8627450980392157]",0.84
SVM_rbf_C1.0_gamma0.2_degree3,rbf,1.0,0.2,3,"[0.875, 0.9144736842105263, 0.8421052631578947, 0.881578947368421, 0.881578947368421, 0.868421052631579, 0.875, 0.9078947368421053, 0.881578947368421, 0.868421052631579]","[0.8789808917197451, 0.913907284768212, 0.8378378378378377, 0.8831168831168831, 0.8831168831168831, 0.8648648648648649, 0.8789808917197451, 0.9078947368421053, 0.8846153846153847, 0.868421052631579]",0.73
SVM_poly_C1.0_gamma0.3_degree5,poly,1.0,0.3,5,"[0.4342105263157895, 0.47368421052631576, 0.5460526315789473, 0.4868421052631579, 0.5, 0.5, 0.40789473684210525, 0.4605263157894737, 0.46710526315789475, 0.5]","[0.44155844155844154, 0.48717948717948717, 0.5548387096774193, 0.4729729729729729, 0.5, 0.4722222222222222, 0.4155844155844156, 0.4605263157894737, 0.4840764331210191, 0.4864864864864865]",0.24
SVM_poly_C0.5_gamma0.2_degree4,poly,0.5,0.2,4,"[0.26973684210526316, 0.28289473684210525, 0.3092105263157895, 0.23684210526315788, 0.2236842105263158, 0.2631578947368421, 0.2565789473684211, 0.2894736842105263, 0.21710526315789475, 0.2565789473684211]","[0.2550335570469799, 0.2585034013605442, 0.3225806451612903, 0.21621621621621623, 0.24358974358974358, 0.27272727272727276, 0.2709677419354839, 0.27027027027027023, 0.2119205298013245, 0.261437908496732]",0.26
SVM_sigmoid_C1.5_gamma0.3_degree3,sigmoid,1.5,0.3,3,"[0.8223684210526315, 0.868421052631579, 0.7763157894736842, 0.875, 0.8289473684210527, 0.8289473684210527, 0.8355263157894737, 0.8289473684210527, 0.8552631578947368, 0.8355263157894737]","[0.8258064516129032, 0.8666666666666667, 0.7702702702702704, 0.8724832214765101, 0.8219178082191781, 0.8243243243243243, 0.832214765100671, 0.8289473684210527, 0.8625, 0.8366013071895425]",0.31
