Arquitectura,Accuracy_mean,Accuracy_std,F1_mean,F1_std,Precision_mean,Precision_std,Recall_mean,Recall_std,Specificity_mean,Specificity_std,NPV_mean,NPV_std
[12],0.8126315789473685,0.020916960503099224,0.8080012500024839,0.016709782235922926,0.8262160325794289,0.0073304190356452,0.793421052631579,0.024899746576331386,0.8318421052631579,0.008360659938541603,0.8039241453005118,0.01593706834614747
[16],0.8198684210526317,0.022333564172398852,0.8171347492996567,0.017112235556284747,0.8301011426048783,0.010467451843050925,0.8065789473684208,0.028148439253210644,0.8331578947368421,0.011284423147982647,0.8130418375712258,0.021424398811284818
[24],0.8189473684210526,0.029325021906529018,0.8207176257300368,0.01713559600729365,0.8253591271624601,0.047175959974568596,0.8210526315789475,0.03177526341642275,0.8168421052631579,0.11928410646132732,0.8250135815525296,0.028235016560893948
[32],0.8239473684210527,0.01765098870538487,0.8232616701283675,0.007499326323728529,0.8279324819455196,0.006490952748561361,0.8205263157894738,0.009697221160727111,0.8273684210526315,0.00888739241388533,0.8229299698528324,0.007535106934122298
[48],0.8251315789473684,0.017216797862987496,0.8242494037929227,0.0053411036775903335,0.8293831045346988,0.004043901715255969,0.8207894736842105,0.009028214820252815,0.8294736842105263,0.005105863163246544,0.8234055522078304,0.007038629701800864
"[16, 12]",0.7964473684210527,0.04914649334954102,0.7533399160514975,0.18135969248416883,0.8468698781494475,0.03744543423699715,0.7423684210526316,0.1767980308804595,0.8505263157894737,0.04056139747760088,0.7896029686537843,0.06618652698516325
"[24, 16]",0.8136842105263158,0.04254702466071186,0.8059683092885279,0.11064656467412434,0.8287988231141536,0.04077023962839852,0.8084210526315789,0.10905523981946125,0.8189473684210528,0.10631658719615449,0.8214958839259537,0.04552319609783527
"[32, 24]",0.820921052631579,0.03273029070791399,0.8226041942377531,0.019225059395522576,0.8275943188845236,0.03752543122627586,0.8228947368421053,0.01790323591671133,0.8189473684210526,0.10477597467194619,0.8271324816350892,0.019221196904015782
"[48, 32]",0.8289473684210525,0.02176251970185137,0.8280034287302882,0.003989193673444003,0.8334416949570059,0.003583087453549966,0.8242105263157894,0.00544760481655324,0.8336842105263159,0.004548954634857828,0.8269324609143636,0.004501221963345472
