K,AccuracyMean,AccuracyStd,F1Mean,F1Std,RecallMean,RecallStd,PrecisionMean,PrecisionStd,SpecificityMean,SpecificityStd,NPVMean,NPVStd
1,0.8565789473684211,0.029389237838159575,0.8577456957334277,0.028660874500009217,0.8644736842105264,0.03511512087938262,0.8520524972204475,0.03644872980146907,0.8486842105263157,0.04218285978436699,0.8629502597469394,0.03296834422877729
3,0.9052631578947367,0.019663606817070082,0.9047803536533194,0.02012975041262523,0.9013157894736843,0.035224514044318,0.9095952764262281,0.029874764623796977,0.9092105263157894,0.03249760272428543,0.9032322765453085,0.030402799439459356
5,0.9098684210526315,0.020583684263609316,0.9093325102752614,0.021386605379349506,0.9052631578947368,0.03088915238887545,0.9139913205041408,0.022583100030721254,0.9144736842105263,0.023414645289542332,0.9067798510387896,0.027923181446451662
7,0.9092105263157896,0.013800116423291481,0.9092603553961502,0.014323365236002078,0.9105263157894736,0.021306943511387923,0.9082126976923778,0.013243017975509535,0.9078947368421051,0.013869638860387626,0.910606920019321,0.019655614044990687
9,0.9039473684210526,0.015874527255134982,0.9042749541032208,0.016163154552495777,0.9078947368421051,0.023208344833899906,0.9010192995589396,0.01819045618363172,0.8999999999999998,0.019809806650238987,0.9075561647205787,0.02161687724834013
11,0.9111842105263157,0.014954146597572214,0.9116736046142183,0.015792496845574416,0.9184210526315791,0.028288623678240497,0.9054828800423117,0.013530351193285708,0.9039473684210526,0.015256602746426403,0.9179440175912026,0.02621153985629929
13,0.9092105263157894,0.016930051811946293,0.9100877913348319,0.01709218193044266,0.9197368421052634,0.024380600192433828,0.9009198718442475,0.017073820234079638,0.8986842105263158,0.018659690689633895,0.9184237858116733,0.023502943987280523
15,0.9032894736842104,0.017000918809924846,0.9048518886006948,0.01670312552263511,0.919736842105263,0.021885920964692347,0.8907644212327759,0.020620658032144704,0.8868421052631579,0.02337353086749864,0.9173528118258174,0.021613794103604873
