MaxNodes,AccuracyMean,AccuracyStd,F1Mean,F1Std,RecallMean,RecallStd,PrecisionMean,PrecisionStd,SpecificityMean,SpecificityStd,NPVMean,NPVStd
5,0.7026315789473684,0.01898228690296514,0.7085532114036851,0.020405244856805928,0.7236842105263158,0.03573283056315862,0.6949920446015369,0.02104906093788742,0.6815789473684211,0.03621410248558653,0.7121748168656583,0.023730677761252702
10,0.7078947368421054,0.03341690815579025,0.7116023314878576,0.033053676536770986,0.7210526315789474,0.041243231628046,0.7033049715318083,0.03635935452433791,0.6947368421052632,0.04757811771516986,0.7139013338050855,0.0346377239480421
15,0.780921052631579,0.050190081902001714,0.7800489991412234,0.054937219035922816,0.781578947368421,0.0760715237871698,0.7800345035104292,0.04308105049570386,0.7802631578947369,0.04071512749148895,0.7841384977643843,0.0648675941165869
20,0.8151315789473685,0.0330915166841034,0.8120302884877036,0.03367779467659013,0.7986842105263158,0.03651167611976741,0.8263465663465663,0.03726334605371985,0.8315789473684211,0.04018008285421702,0.8053091652975137,0.032034179413874306
25,0.825,0.012824729401064413,0.8238176070064395,0.012478257322688176,0.8184210526315789,0.026150798571515494,0.8302413928925123,0.024040832166156434,0.8315789473684211,0.0330915166841034,0.8213533668450139,0.01777468470569621
30,0.8243421052631579,0.008887668477701517,0.8255896362118446,0.012364666082305137,0.8328947368421051,0.03796457380593029,0.8198139847663046,0.019334254082605595,0.8157894736842106,0.031551523179688935,0.8314653021528311,0.02805220646182718
35,0.8328947368421054,0.01937720588818837,0.8344638718096281,0.01555171021934573,0.8407894736842104,0.02101147292456752,0.829610555910582,0.0385337584152138,0.825,0.04980050228361989,0.8386197824955778,0.013429551884888606
40,0.8401315789473683,0.025116591011606668,0.8403478325374939,0.021771302762147178,0.8394736842105264,0.02111421912615947,0.8424470670997956,0.04176059980833363,0.8407894736842104,0.051886168824027225,0.8397945994818329,0.016646186661999015
