Profundidad,Accuracy,F1_Score,Precision,Recall,Specificity,NPV,Tiempo
2,"[0.7828947368421053, 0.8289473684210527, 0.7960526315789473, 0.7631578947368421, 0.7894736842105263, 0.75, 0.8289473684210527, 0.7697368421052632, 0.7631578947368421, 0.7894736842105263]","[0.8023952095808384, 0.8414634146341463, 0.7999999999999999, 0.7857142857142858, 0.8072289156626506, 0.7840909090909091, 0.8470588235294116, 0.7999999999999999, 0.788235294117647, 0.8072289156626506]","[0.7362637362637363, 0.7840909090909091, 0.7848101265822784, 0.717391304347826, 0.7444444444444445, 0.69, 0.7659574468085106, 0.7070707070707071, 0.7127659574468085, 0.7444444444444445]","[0.881578947368421, 0.9078947368421053, 0.8157894736842105, 0.868421052631579, 0.881578947368421, 0.9078947368421053, 0.9473684210526315, 0.9210526315789473, 0.881578947368421, 0.881578947368421]","[0.6842105263157895, 0.75, 0.7763157894736842, 0.6578947368421053, 0.6973684210526315, 0.5921052631578947, 0.7105263157894737, 0.618421052631579, 0.6447368421052632, 0.6973684210526315]","[0.8524590163934426, 0.890625, 0.8082191780821918, 0.8333333333333334, 0.8548387096774194, 0.8653846153846154, 0.9310344827586207, 0.8867924528301887, 0.8448275862068966, 0.8548387096774194]",3.64
4,"[0.9276315789473685, 0.8947368421052632, 0.9078947368421053, 0.8947368421052632, 0.8881578947368421, 0.9013157894736842, 0.9342105263157895, 0.9144736842105263, 0.8618421052631579, 0.9342105263157895]","[0.923076923076923, 0.8888888888888888, 0.9027777777777778, 0.8888888888888888, 0.8859060402684564, 0.8965517241379309, 0.9324324324324325, 0.9090909090909092, 0.8531468531468532, 0.9305555555555556]","[0.9850746268656716, 0.9411764705882353, 0.9558823529411765, 0.9411764705882353, 0.9041095890410958, 0.9420289855072463, 0.9583333333333334, 0.9701492537313433, 0.9104477611940298, 0.9852941176470589]","[0.868421052631579, 0.8421052631578947, 0.8552631578947368, 0.8421052631578947, 0.868421052631579, 0.8552631578947368, 0.9078947368421053, 0.8552631578947368, 0.8026315789473685, 0.881578947368421]","[0.9868421052631579, 0.9473684210526315, 0.9605263157894737, 0.9473684210526315, 0.9078947368421053, 0.9473684210526315, 0.9605263157894737, 0.9736842105263158, 0.9210526315789473, 0.9868421052631579]","[0.8823529411764706, 0.8571428571428571, 0.8690476190476191, 0.8571428571428571, 0.8734177215189873, 0.8674698795180723, 0.9125, 0.8705882352941177, 0.8235294117647058, 0.8928571428571429]",0.02
6,"[0.9407894736842105, 0.9539473684210527, 0.9144736842105263, 0.9078947368421053, 0.9342105263157895, 0.9342105263157895, 0.9539473684210527, 0.9473684210526315, 0.9276315789473685, 0.9342105263157895]","[0.9403973509933775, 0.9536423841059603, 0.9115646258503401, 0.9054054054054054, 0.9342105263157895, 0.9333333333333332, 0.9536423841059603, 0.9459459459459458, 0.9271523178807947, 0.9315068493150684]","[0.9466666666666667, 0.96, 0.9436619718309859, 0.9305555555555556, 0.9342105263157895, 0.9459459459459459, 0.96, 0.9722222222222222, 0.9333333333333333, 0.9714285714285714]","[0.9342105263157895, 0.9473684210526315, 0.881578947368421, 0.881578947368421, 0.9342105263157895, 0.9210526315789473, 0.9473684210526315, 0.9210526315789473, 0.9210526315789473, 0.8947368421052632]","[0.9473684210526315, 0.9605263157894737, 0.9473684210526315, 0.9342105263157895, 0.9342105263157895, 0.9473684210526315, 0.9605263157894737, 0.9736842105263158, 0.9342105263157895, 0.9736842105263158]","[0.935064935064935, 0.948051948051948, 0.8888888888888888, 0.8875, 0.9342105263157895, 0.9230769230769231, 0.948051948051948, 0.925, 0.922077922077922, 0.9024390243902439]",0.03
8,"[0.9407894736842105, 0.9539473684210527, 0.9013157894736842, 0.9078947368421053, 0.9210526315789473, 0.9342105263157895, 0.9473684210526315, 0.9342105263157895, 0.9210526315789473, 0.9276315789473685]","[0.9403973509933775, 0.9536423841059603, 0.8965517241379309, 0.9054054054054054, 0.92, 0.9324324324324325, 0.9466666666666667, 0.9324324324324325, 0.92, 0.9241379310344827]","[0.9466666666666667, 0.96, 0.9420289855072463, 0.9305555555555556, 0.9324324324324325, 0.9583333333333334, 0.9594594594594594, 0.9583333333333334, 0.9324324324324325, 0.9710144927536232]","[0.9342105263157895, 0.9473684210526315, 0.8552631578947368, 0.881578947368421, 0.9078947368421053, 0.9078947368421053, 0.9342105263157895, 0.9078947368421053, 0.9078947368421053, 0.881578947368421]","[0.9473684210526315, 0.9605263157894737, 0.9473684210526315, 0.9342105263157895, 0.9342105263157895, 0.9605263157894737, 0.9605263157894737, 0.9605263157894737, 0.9342105263157895, 0.9736842105263158]","[0.935064935064935, 0.948051948051948, 0.8674698795180723, 0.8875, 0.9102564102564102, 0.9125, 0.9358974358974359, 0.9125, 0.9102564102564102, 0.891566265060241]",0.05
10,"[0.9276315789473685, 0.9539473684210527, 0.9013157894736842, 0.8947368421052632, 0.9210526315789473, 0.9276315789473685, 0.9276315789473685, 0.9210526315789473, 0.9210526315789473, 0.9144736842105263]","[0.9271523178807947, 0.9536423841059603, 0.8965517241379309, 0.8933333333333332, 0.92, 0.9251700680272109, 0.9271523178807947, 0.92, 0.92, 0.9103448275862069]","[0.9333333333333333, 0.96, 0.9420289855072463, 0.9054054054054054, 0.9324324324324325, 0.9577464788732394, 0.9333333333333333, 0.9324324324324325, 0.9324324324324325, 0.9565217391304348]","[0.9210526315789473, 0.9473684210526315, 0.8552631578947368, 0.881578947368421, 0.9078947368421053, 0.8947368421052632, 0.9210526315789473, 0.9078947368421053, 0.9078947368421053, 0.868421052631579]","[0.9342105263157895, 0.9605263157894737, 0.9473684210526315, 0.9078947368421053, 0.9342105263157895, 0.9605263157894737, 0.9342105263157895, 0.9342105263157895, 0.9342105263157895, 0.9605263157894737]","[0.922077922077922, 0.948051948051948, 0.8674698795180723, 0.8846153846153846, 0.9102564102564102, 0.9012345679012346, 0.922077922077922, 0.9102564102564102, 0.9102564102564102, 0.8795180722891566]",0.03
12,"[0.9210526315789473, 0.9276315789473685, 0.9078947368421053, 0.8881578947368421, 0.9276315789473685, 0.9210526315789473, 0.9342105263157895, 0.9078947368421053, 0.9210526315789473, 0.9144736842105263]","[0.92, 0.9271523178807947, 0.904109589041096, 0.8874172185430463, 0.9271523178807947, 0.918918918918919, 0.9342105263157895, 0.9066666666666667, 0.92, 0.9115646258503401]","[0.9324324324324325, 0.9333333333333333, 0.9428571428571428, 0.8933333333333333, 0.9333333333333333, 0.9444444444444444, 0.9342105263157895, 0.918918918918919, 0.9324324324324325, 0.9436619718309859]","[0.9078947368421053, 0.9210526315789473, 0.868421052631579, 0.881578947368421, 0.9210526315789473, 0.8947368421052632, 0.9342105263157895, 0.8947368421052632, 0.9078947368421053, 0.881578947368421]","[0.9342105263157895, 0.9342105263157895, 0.9473684210526315, 0.8947368421052632, 0.9342105263157895, 0.9473684210526315, 0.9342105263157895, 0.9210526315789473, 0.9342105263157895, 0.9473684210526315]","[0.9102564102564102, 0.922077922077922, 0.8780487804878049, 0.8831168831168831, 0.922077922077922, 0.9, 0.9342105263157895, 0.8974358974358975, 0.9102564102564102, 0.8888888888888888]",0.03
